com.samsung.shealth.stress,6272009,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62620030,2024-02-06 00:00:00.000,,55444e04-2554-4461-882a-fc148d0ea84d.binning_data.json,10011,62620030,2024-02-06 01:05:44.824,2024-02-06 01:05:44.824,28.0,1.0,6.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 00:59:59.999,55444e04-2554-4461-882a-fc148d0ea84d,
62620030,2024-02-06 01:00:00.000,,9c5901ff-6a0b-45a3-80fd-ad12d340a9fa.binning_data.json,10011,62620030,2024-02-06 02:16:35.138,2024-02-06 02:16:35.138,13.0,1.0,6.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 01:59:59.999,9c5901ff-6a0b-45a3-80fd-ad12d340a9fa,
62620030,2024-02-06 02:00:00.000,,2f98aca5-9db1-4255-9be1-84c6e9102dd7.binning_data.json,10011,62620030,2024-02-06 03:15:15.593,2024-02-06 03:15:15.593,1.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 02:59:59.999,2f98aca5-9db1-4255-9be1-84c6e9102dd7,
62620030,2024-02-06 03:00:00.000,,d4de7209-8de4-4ccc-afac-3fdc716c17cd.binning_data.json,10011,62620030,2024-02-06 04:10:55.266,2024-02-06 04:10:55.266,86.0,0.0,34.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 03:59:59.999,d4de7209-8de4-4ccc-afac-3fdc716c17cd,
62620030,2024-02-06 04:00:00.000,,a9370a1f-eab4-47ac-9ac7-fc15279d1666.binning_data.json,10011,62620030,2024-02-06 05:01:20.383,2024-02-06 05:01:20.383,88.0,1.0,28.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 04:59:59.999,a9370a1f-eab4-47ac-9ac7-fc15279d1666,
62620030,2024-02-06 05:00:00.000,,7b096884-bd28-4ab0-aa22-9134c0c5ac04.binning_data.json,10011,62620030,2024-02-06 23:29:24.030,2024-02-06 23:29:24.030,80.0,0.0,52.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 05:59:59.999,7b096884-bd28-4ab0-aa22-9134c0c5ac04,
62620030,2024-02-06 23:00:00.000,,90ad11db-7cf1-423a-bb53-b822ce0692df.binning_data.json,10011,62620030,2024-02-07 00:02:24.299,2024-02-07 00:02:24.299,94.0,0.0,25.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-06 23:59:59.999,90ad11db-7cf1-423a-bb53-b822ce0692df,
62620030,2024-02-07 00:00:00.000,,35ac1e76-65d1-4664-b084-db921c83d5ee.binning_data.json,10011,62620030,2024-02-07 01:13:27.011,2024-02-07 00:50:23.700,92.0,0.0,42.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 00:59:59.999,35ac1e76-65d1-4664-b084-db921c83d5ee,
62620030,2024-02-07 01:00:00.000,,d51b7591-2bf2-4a7f-8755-c1c1f859caf8.binning_data.json,10011,62620030,2024-02-07 02:03:48.162,2024-02-07 02:03:48.162,9.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 01:59:59.999,d51b7591-2bf2-4a7f-8755-c1c1f859caf8,
62620030,2024-02-07 02:00:00.000,,ab6cdf28-b70e-4384-9ceb-0d50badbbe36.binning_data.json,10011,62620030,2024-02-07 03:12:58.621,2024-02-07 03:12:58.621,17.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 02:59:59.999,ab6cdf28-b70e-4384-9ceb-0d50badbbe36,
62620030,2024-02-07 03:00:00.000,,b7cee8db-71c9-43bd-a71d-2fc031c1c35a.binning_data.json,10011,62620030,2024-02-07 04:04:04.012,2024-02-07 04:04:04.012,91.0,4.0,37.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 03:59:59.999,b7cee8db-71c9-43bd-a71d-2fc031c1c35a,
62620030,2024-02-07 04:00:00.000,,67fcb5c6-0414-4818-a82d-26651d040bf9.binning_data.json,10011,62620030,2024-02-07 05:01:09.618,2024-02-07 05:01:09.618,72.0,0.0,27.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 04:59:59.999,67fcb5c6-0414-4818-a82d-26651d040bf9,
62620030,2024-02-07 05:00:00.000,,48e99d05-ade9-4903-8ee9-451ccd6041dd.binning_data.json,10011,62620030,2024-02-07 06:02:52.026,2024-02-07 06:02:52.026,97.0,0.0,18.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 05:59:59.999,48e99d05-ade9-4903-8ee9-451ccd6041dd,
62620030,2024-02-07 06:00:00.000,,9d821a8d-3028-4f27-8525-6d87128b9105.binning_data.json,10011,62620030,2024-02-07 07:07:07.745,2024-02-07 07:07:07.745,60.0,0.0,13.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 06:59:59.999,9d821a8d-3028-4f27-8525-6d87128b9105,
62620030,2024-02-07 07:00:00.000,,dd6e380b-bf98-4798-ae57-8cf955d38988.binning_data.json,10011,62620030,2024-02-07 08:03:46.911,2024-02-07 08:03:46.911,94.0,0.0,33.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 07:59:59.999,dd6e380b-bf98-4798-ae57-8cf955d38988,
62620030,2024-02-07 08:00:00.000,,9d8c76ad-1de0-4365-a3f2-4fd3411b3cfb.binning_data.json,10011,62620030,2024-02-07 12:33:50.518,2024-02-07 12:33:50.518,28.0,0.0,9.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-07 08:59:59.999,9d8c76ad-1de0-4365-a3f2-4fd3411b3cfb,
