com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-12-07 05:00:00.000,,10009,,2021-12-13 05:47:56.802,2021-12-07 16:23:38.561,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":12526}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-07 05:00:00.000,d71c1e32-91ab-4ac4-a57f-120b58cddfea,1,
,2021-12-07 05:00:00.000,,10009,,2021-12-08 05:00:03.738,2021-12-08 00:11:25.294,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":12526}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-07 05:00:00.000,69313cf3-4734-4740-857b-66305bdea9af,1,
,2021-12-10 05:00:00.000,,10009,,2021-12-16 05:15:13.767,2021-12-10 17:50:37.467,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7561}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-10 05:00:00.000,c3106c94-6524-4d8b-9c71-778226f85ee5,1,
,2021-12-13 05:00:00.000,,10009,,2021-12-19 05:04:10.931,2021-12-13 19:34:07.579,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9068}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-13 05:00:00.000,911d41a9-4d82-4621-a937-d727422258bb,1,
,2021-12-14 05:00:00.000,,10009,,2021-12-20 05:00:03.418,2021-12-14 19:04:47.256,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":10607}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-14 05:00:00.000,67080463-ace9-46df-a0a9-53676b060749,1,
,2021-12-17 05:00:00.000,,10009,,2021-12-23 05:27:14.059,2021-12-18 01:14:44.513,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6348}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-12-17 05:00:00.000,3e0eacfb-7529-4465-8348-3b6185e24e78,1,
,2022-01-18 05:00:00.000,,10009,,2022-01-24 05:00:04.003,2022-01-18 16:28:05.689,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9085}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2022-01-18 05:00:00.000,c2092b09-a2ab-4eef-9748-11781029b030,1,
,2022-01-19 05:00:00.000,,10009,,2022-01-25 05:00:04.142,2022-01-19 19:26:47.749,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":13519}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2022-01-19 05:00:00.000,ed8b0d58-4788-4be1-9b39-e891e3e3b4ba,1,
,2022-01-19 05:00:00.000,,10009,,2022-01-20 05:00:01.149,2022-01-20 02:57:56.013,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":13519}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2022-01-19 05:00:00.000,69abf1b9-7715-4c5e-9f7b-9d198fef2e5e,1,
,2022-01-24 05:00:00.000,,10009,,2022-01-30 05:01:02.394,2022-01-24 19:17:38.292,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9781}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2022-01-24 05:00:00.000,bc7bb770-636e-4c1c-9ce0-92642c1e0df2,1,
,2022-02-07 05:00:00.000,,10009,,2022-02-13 05:00:03.813,2022-02-07 16:24:49.159,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":12398}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2022-02-07 05:00:00.000,d0e69c8a-c78d-40d6-a4e8-eac64ac735ce,1,
