com.samsung.shealth.report,6272009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1672549200000,2023-01-08 18:46:04.347,2023-01-08 18:46:04.347,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,4a354144-8df2-4cde-9e4d-1c10e01be1bf,4a354144-8df2-4cde-9e4d-1c10e01be1bf.compressed_content.json,
America/Toronto,1673154000000,2023-01-16 18:46:00.048,2023-01-16 18:46:00.048,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,5c43a5fb-b6bc-49a5-98e3-9e0bdf7b6c79,5c43a5fb-b6bc-49a5-98e3-9e0bdf7b6c79.compressed_content.json,
America/Toronto,1673758800000,2023-01-27 18:46:20.608,2023-01-27 18:46:20.608,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,79d312a6-d896-41f4-8750-7aeff264f7cf,79d312a6-d896-41f4-8750-7aeff264f7cf.compressed_content.json,
America/Toronto,1674363600000,2023-01-29 18:58:29.625,2023-01-29 18:58:29.625,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1ab951a9-81dd-48f7-8d13-16632524b368,1ab951a9-81dd-48f7-8d13-16632524b368.compressed_content.json,
America/Toronto,1674968400000,2023-02-05 18:46:10.711,2023-02-05 18:46:10.711,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,393a6ff3-7233-44ed-ae68-58f6b3c5bc25,393a6ff3-7233-44ed-ae68-58f6b3c5bc25.compressed_content.json,
America/Toronto,1675573200000,2023-02-12 18:47:15.993,2023-02-12 18:47:15.993,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,f92f84c3-ab91-4439-a8aa-71bedaeeaa64,f92f84c3-ab91-4439-a8aa-71bedaeeaa64.compressed_content.json,
America/Toronto,1676178000000,2023-02-19 18:45:59.074,2023-02-19 18:45:59.074,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,7f31c223-afb4-4c12-9908-492d049c53cb,7f31c223-afb4-4c12-9908-492d049c53cb.compressed_content.json,
America/Toronto,1676782800000,2023-02-26 19:37:00.232,2023-02-26 19:37:00.232,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,ff87e5c2-a11b-45e6-bd6e-58d1ef0ddbde,ff87e5c2-a11b-45e6-bd6e-58d1ef0ddbde.compressed_content.json,
America/Toronto,1677387600000,2023-03-05 18:45:58.008,2023-03-05 18:45:58.008,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,ab72fae8-d668-4aa9-881e-e960134588ee,ab72fae8-d668-4aa9-881e-e960134588ee.compressed_content.json,
America/Toronto,1677992400000,2023-03-12 19:01:06.528,2023-03-12 19:01:06.528,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,b667e72c-7699-420a-ba2b-936f60e7ddca,b667e72c-7699-420a-ba2b-936f60e7ddca.compressed_content.json,
America/Toronto,1678597200000,2023-03-19 17:45:49.372,2023-03-19 17:45:49.372,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,3ec3c085-2fbe-4b76-9ac1-40ad25a279cb,3ec3c085-2fbe-4b76-9ac1-40ad25a279cb.compressed_content.json,
America/Toronto,1679198400000,2023-03-26 17:46:35.377,2023-03-26 17:46:35.377,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,7352b465-8a84-4868-a24d-c5563a929d94,7352b465-8a84-4868-a24d-c5563a929d94.compressed_content.json,
America/Toronto,1679803200000,2023-04-02 17:45:58.010,2023-04-02 17:45:58.010,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,1a369f8b-09ce-4f4b-8228-b492b286c064,1a369f8b-09ce-4f4b-8228-b492b286c064.compressed_content.json,
America/Toronto,1680408000000,2023-04-09 17:46:17.953,2023-04-09 17:46:17.953,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,c5b14a49-2dbb-4df6-9c91-2359ce938052,c5b14a49-2dbb-4df6-9c91-2359ce938052.compressed_content.json,
America/Toronto,1681012800000,2023-04-16 17:45:42.820,2023-04-16 17:45:42.820,0,0,3,5vLahzXBCy,X,com.sec.android.app.shealth,a90e93f5-83cb-48c2-bc79-f7ba6fe2b230,a90e93f5-83cb-48c2-bc79-f7ba6fe2b230.compressed_content.json,
